,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
57,57,-5.900696999999999,2022-06-26 03:53:44.543457,2022-06-26 04:22:39.243651,0 days 00:28:54.700194,tanh,256,0.3,7.516072151862099e-07,1.0,0.9999,0.0028352684478803163,0.8,20,32,medium,0.8809934602163406,-5.900696999999999,,,PRUNED
58,58,97.1574726,2022-06-26 04:02:21.706117,2022-06-26 04:28:25.074692,0 days 00:26:03.368575,relu,32,0.2,1.3460150102610523e-06,0.99,0.99,1.4191125236053758e-05,0.9,10,16,small,0.4010265096342673,97.1574726,,,PRUNED
59,59,-13.3978602,2022-06-26 04:10:06.620458,2022-06-26 04:17:27.045896,0 days 00:07:20.425438,relu,32,0.2,0.0006867900429122659,0.8,0.98,0.03130971861786137,1.0,1,16,small,0.11953329743923759,-13.3978602,,,PRUNED
60,60,50.643352199999995,2022-06-26 04:17:27.046512,2022-06-26 04:32:06.988218,0 days 00:14:39.941706,tanh,256,0.1,3.417140299068079e-08,0.8,0.95,0.0018036977421446267,0.8,5,16,small,0.919487335188822,50.643352199999995,,,PRUNED
61,61,,2022-06-26 04:20:39.421846,2022-06-26 04:44:35.339229,0 days 00:23:55.917383,relu,256,0.3,0.028196307423917058,0.99,0.999,0.003836770365261951,0.8,10,16,medium,0.35918901503328693,,,,PRUNED
62,62,82.2761654,2022-06-26 04:22:39.244649,2022-06-26 05:10:50.206076,0 days 00:48:10.961427,relu,32,0.1,6.972096551344771e-06,0.95,0.99,0.00012028702962394122,2.0,10,8,small,0.1431147372277124,82.2761654,,,PRUNED
63,63,81.2772416,2022-06-26 04:28:25.075313,2022-06-26 05:53:47.306342,0 days 01:25:22.231029,relu,8,0.3,0.0015412967985831707,0.8,0.9999,0.019498763635736847,2.0,20,64,medium,0.10155708440845591,81.2772416,,,PRUNED
64,64,,2022-06-26 04:32:06.989003,2022-06-26 04:32:09.313399,0 days 00:00:02.324396,tanh,256,0.3,0.0007276193212705374,0.9,0.995,0.7476242048675074,0.6,10,16,small,0.009300687511881955,,,,PRUNED
65,65,267.6461154,2022-06-26 04:32:09.314410,2022-06-26 04:45:01.136831,0 days 00:12:51.822421,relu,64,0.2,0.016222773600466145,0.95,0.98,0.047416878603222794,0.9,20,512,small,0.5899223874990405,267.6461154,,,PRUNED
66,66,-13.2758748,2022-06-26 04:44:35.339994,2022-06-26 04:52:02.449778,0 days 00:07:27.109784,relu,16,0.3,5.372278950371095e-07,0.92,0.999,0.08208194298117812,1.0,1,16,medium,0.14106380348698888,-13.2758748,,,PRUNED
